2024-07-06 10:50:05.719357;85;H=76;T=27;Hs=52.58283;sp=2;sf=7;rx_timestamp=7865369; rssi=-122; snr=-5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 10:50:28.773681;86;H=76;T=27;Hs=52.58283;sp=2;sf=12;rx_timestamp=30741770; rssi=-123; snr=-5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 10:50:47.783414;87;H=76;T=27;Hs=52.58283;sp=20;sf=7;rx_timestamp=50096495; rssi=-110; snr=5.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 10:51:11.222562;88;H=76;T=27;Hs=52.58283;sp=20;sf=12;rx_timestamp=73136508; rssi=-109; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 10:55:48.319521;101;H=76;T=27;Hs=52.76096;sp=2;sf=7;rx_timestamp=350004492; rssi=-85; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 10:56:11.159514;102;H=76;T=27;Hs=52.76096;sp=2;sf=12;rx_timestamp=373044464; rssi=-86; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 10:59:44.150791;112;H=75;T=27;Hs=52.44033;sp=20;sf=12;rx_timestamp=586335289; rssi=-79; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:00:04.631894;113;H=78;T=28;Hs=52.4047;sp=2;sf=7;rx_timestamp=606590190; rssi=-91; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:00:26.615122;114;H=78;T=28;Hs=52.4047;sp=2;sf=12;rx_timestamp=629466510; rssi=-91; snr=10.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:00:46.664557;115;H=78;T=28;Hs=52.4047;sp=20;sf=7;rx_timestamp=648824183; rssi=-76; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:06:34.167895;131;H=73;T=28;Hs=52.36907;sp=20;sf=7;rx_timestamp=995134653; rssi=-113; snr=1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:06:56.674009;132;H=73;T=28;Hs=52.36907;sp=20;sf=12;rx_timestamp=1018177617; rssi=-123; snr=-6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:07:58.666376;135;H=73;T=28;Hs=55.25472;sp=20;sf=7;rx_timestamp=1080668522; rssi=-112; snr=0.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:08:21.716149;136;H=73;T=28;Hs=55.25472;sp=20;sf=12;rx_timestamp=1103722486; rssi=-98; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:08:42.738570;137;H=75;T=28;Hs=54.82722;sp=2;sf=7;rx_timestamp=1123980426; rssi=-106; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:09:05.766569;138;H=75;T=28;Hs=54.82722;sp=2;sf=12;rx_timestamp=1147024377; rssi=-105; snr=6.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:09:24.236302;139;H=75;T=28;Hs=54.82722;sp=20;sf=7;rx_timestamp=1166217408; rssi=-99; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:09:47.666964;140;H=75;T=28;Hs=54.82722;sp=20;sf=12;rx_timestamp=1189272359; rssi=-108; snr=4.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:10:50.156409;143;H=74;T=29;Hs=54.9341;sp=20;sf=7;rx_timestamp=1251762220; rssi=-115; snr=-1.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:12:58.200888;149;H=71;T=29;Hs=55.2191;sp=2;sf=7;rx_timestamp=1380595007; rssi=-125; snr=-9.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:13:21.673324;150;H=71;T=29;Hs=55.2191;sp=2;sf=12;rx_timestamp=1403473328; rssi=-131; snr=-13.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 11:13:41.704254;151;H=71;T=29;Hs=55.2191;sp=20;sf=7;rx_timestamp=1422828991; rssi=-111; snr=3.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
